car_title,price,mileage,body,extcol,intcol,fuecon,engine,ftype,trans,dtype,doors
Certified 2017 Honda Ridgeline AWD RTL,28500,"32,026",Truck,Crystal Black Pearl,Black,City 18/Hwy 25/Comb 21 MPG,6-Cylinder,Gasoline,6-Speed Automatic,4 wheel drive - front wheel default,Four Door
Used 2018 Honda Accord 1.5T Touring,28650,"10,339",Sedan,Silver,Black,City 29/Hwy 35/Comb 31 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2014 Honda Ridgeline SE,28998,"35,894",Truck,Silver,Black,City 15/Hwy 21/Comb 17 MPG,6-Cylinder,Gasoline,5-Speed Automatic,4 wheel drive - front wheel default,Four Door
Used 2016 Honda Pilot 4WD Elite,31481,"33,880",Sport Utility,Gray,Gray,City 19/Hwy 26/Comb 21 MPG,6-Cylinder,Gasoline,9-Speed Automatic,All wheel drive,Four Door
Used 2017 Honda Ridgeline AWD Black Edition,34497,"15,468",Truck,Crystal Black Pearl,Black,City 18/Hwy 25/Comb 21 MPG,6-Cylinder,Gasoline,6-Speed Automatic,All wheel drive,Four Door
Used 2017 Honda Civic LX-P Coupe,15800,"23,857",Coupe,Taffeta White,,City 30/Hwy 39/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Two Door
Used 2017 Honda Pilot 4WD Elite,34998,"39,326",Sport Utility,Black,Gray,City 19/Hwy 26/Comb 22 MPG,6-Cylinder,Gasoline,9-Speed Automatic,All wheel drive,Four Door
Used 2018 Honda Civic Type R Hatchback,36290,"4,939",Hatchback,Red,Black,City 22/Hwy 28/Comb 25 MPG,4-Cylinder Turbo,Gasoline,6-Speed Manual,2 wheel drive - front,Four Door
Used 2002 Honda Civic LX,3300,"134,353",Coupe,Nighthawk Black Pearl,Gray,City 26/Hwy 34/Comb 29 MPG,4-Cylinder,Gasoline,5-Speed Manual,2 wheel drive - front,Two Door
Used 2015 Honda Accord LX Sedan,14450,"33,900",Sedan,Gold,Other,City 27/Hwy 36/Comb 31 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2003 Honda Civic EX Coupe,3350,"153,634",Coupe,Gray,Black,City 26/Hwy 34/Comb 29 MPG,4-Cylinder,Gasoline,4-Speed Automatic,2 wheel drive - front,Two Door
Used 2004 Honda Civic EX Sedan,3995,"150,823",Sedan,Silver,Gray,City 25/Hwy 34/Comb 29 MPG,4-Cylinder,Gasoline,5-Speed Manual,2 wheel drive - front,Four Door
Used 2002 Honda Accord SE Coupe,4481,"100,621",Coupe,Black,Black,City 20/Hwy 28/Comb 23 MPG,4-Cylinder,Gasoline,4-Speed Automatic,2 wheel drive - front,Two Door
Used 2004 Honda Accord EX V6 Sedan,4499,"133,142",Sedan,Blue,Gray,City 18/Hwy 27/Comb 22 MPG,6-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2005 Honda Accord EX-L,5808,"104,767",Coupe,Satin Silver Metallic,Black,City 19/Hwy 28/Comb 22 MPG,4-Cylinder,Gasoline,5-Speed Manual,2 wheel drive - front,Two Door
Used 2004 Honda Accord EX Sedan,5900,"144,146",Sedan,Eternal Blue Pearl,Gray,City 21/Hwy 31/Comb 24 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2005 Honda Civic EX Sedan,6499,"105,860",Sedan,Shoreline Mist Metallic,Ivory,City 26/Hwy 35/Comb 30 MPG,4-Cylinder,Gasoline,4-Speed Automatic,2 wheel drive - front,Four Door
Certified 2018 Honda CR-V FWD EX-L,27288,"15,356",Sport Utility,Sandstorm Metallic,Ivory,City 27/Hwy 33/Comb 29 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2010 Honda Civic LX-S Sedan,6500,"166,709",Sedan,Polished Metal Metallic,Black,City 25/Hwy 36/Comb 29 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2012 Honda Civic LX Coupe,8499,"88,996",Coupe,Silver,Gray,City 28/Hwy 39/Comb 32 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Two Door
Used 2007 Honda CR-V LX,8500,"97,003",Sport Utility,Royal Blue Pearl,,City 19/Hwy 26/Comb 22 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2008 Honda CR-V EX-L,9955,"93,412",Sport Utility,Royal Blue Pearl,Black,City 20/Hwy 26/Comb 22 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2013 Honda Fit,9981,"35,683",Hatchback,Blue,Gray,City 28/Hwy 35/Comb 31 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2010 Honda CR-V LX,9991,"98,613",Sport Utility,Black,Gray,City 21/Hwy 27/Comb 23 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2010 Honda Pilot Touring,10555,"166,886",Sport Utility,Red,Gray,City 16/Hwy 22/Comb 18 MPG,6-Cylinder,Gasoline,5-Speed Automatic,4 wheel drive,Four Door
Used 2006 Honda Ridgeline RTS,10685,"131,520",Truck,Steel Blue Metallic,Gray,City 15/Hwy 20/Comb 17 MPG,6-Cylinder,Gasoline,5-Speed Automatic,4 wheel drive,Four Door
Used 2014 Honda Civic EX Sedan,10955,"98,292",Sedan,Crystal Black Pearl,Black,City 30/Hwy 39/Comb 33 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2017 Honda Civic LX Sedan,10981,"115,733",Sedan,Black,Black,City 31/Hwy 40/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2015 Honda Civic LX Coupe,10995,"92,295",Coupe,Silver,Gray,City 30/Hwy 39/Comb 33 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Two Door
Used 2012 Honda Civic EX Sedan,11461,"63,032",Sedan,Gray,Gray,City 28/Hwy 39/Comb 32 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2011 Honda Accord EX-L V6 w/ Navigation,12659,"69,502",Coupe,Crystal Black Pearl,Black,City 22/Hwy 33/Comb 26 MPG,6-Cylinder,Gasoline,5-Speed Shiftable Automatic,2 wheel drive - front,Two Door
Used 2014 Honda Accord LX Sedan,12991,"65,862",Sedan,Gray,Black,City 27/Hwy 36/Comb 30 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Fit LX,13050,"33,727",Hatchback,Crystal Black Pearl,Black,City 33/Hwy 41/Comb 36 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2017 Honda CR-V FWD Touring,26330,"21,003",Sport Utility,Silver,Gray,City 27/Hwy 33/Comb 29 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2013 Honda CR-Z,13300,"39,986",Hatchback,Dk. Gray,Black,Gas - City 36/Hwy 39/Comb 37 MPG,4-Cylinder,Hybrid Gas/Electric,Continuously Variable Automatic,2 wheel drive - front,Two Door
Used 2016 Honda Civic EX Sedan,13981,"47,705",Sedan,Black,Black,City 31/Hwy 41/Comb 35 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Civic LX Coupe,13995,"49,173",Coupe,Gray,Gray,City 30/Hwy 41/Comb 34 MPG,4-Cylinder,Gasoline,6-Speed Manual,2 wheel drive - front,Two Door
Used 2016 Honda Fit LX,12973,"46,148",Hatchback,Mystic Yellow Pearl,,City 33/Hwy 41/Comb 36 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2011 Honda Accord EX-L,13998,"88,894",Sedan,White,Tan,City 23/Hwy 34/Comb 27 MPG,6-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Civic LX Sedan,14481,"48,416",Sedan,Black,Gray,City 31/Hwy 41/Comb 35 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Civic LX Sedan,14488,"40,384",Sedan,Blue,,City 31/Hwy 41/Comb 35 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Fit EX,14490,"31,950",Hatchback,White Orchid Pearl,Black,City 32/Hwy 38/Comb 35 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2017 Honda Civic LX Sedan,14545,"42,885",Sedan,Modern Steel Metallic,Black,City 31/Hwy 40/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2017 Honda HR-V FWD LX,14981,"50,516",Sport Utility,Black,Black,City 28/Hwy 34/Comb 31 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Civic LX Sedan,14988,"36,489",Sedan,Modern Steel Metallic,,City 31/Hwy 41/Comb 35 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2017 Honda Civic LX Sedan,16477,"35,699",Sedan,Cosmic Blue Metallic,Gray,City 31/Hwy 40/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2012 Honda Odyssey EX-L,14998,"81,000",Van,Gray,Gray,City 18/Hwy 27/Comb 21 MPG,6-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2012 Honda Accord EX Sedan,15300,"30,845",Sedan,Gray,Gray,City 23/Hwy 34/Comb 27 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Civic LX Sedan,15671,"22,666",Sedan,Crystal Black Pearl,,City 31/Hwy 41/Comb 35 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Civic LX Sedan,15700,"26,523",Sedan,Taffeta White,,City 31/Hwy 41/Comb 35 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2015 Honda CR-V FWD LX,15771,"40,885",Sport Utility,Crystal Black Pearl,,City 26/Hwy 33/Comb 28 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Accord LX Sedan,15773,"40,770",Sedan,Basque Red Pearl Ii,,City 27/Hwy 37/Comb 31 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2018 Honda Civic LX Sedan,15806,"22,076",Sedan,Crystal Black Pearl,Black,City 31/Hwy 40/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Civic EX Sedan,15971,"36,021",Sedan,Rallye Red,,City 31/Hwy 41/Comb 35 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2018 Honda Civic LX Sedan,15981,"20,817",Sedan,Purple,Beige,City 31/Hwy 40/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2013 Honda CR-V AWD EX,15998,"64,514",Sport Utility,Black,Black,City 22/Hwy 30/Comb 25 MPG,4-Cylinder,Gasoline,5-Speed Automatic,All wheel drive,Four Door
Used 2016 Honda Civic EX-T Sedan,15999,"35,417",Sedan,Black,No Color,35 MPG Combined,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2017 Honda Civic EX Sedan,16481,"32,558",Sedan,Blue,Gray,City 31/Hwy 40/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda CR-V FWD LX,16772,"35,168",Sport Utility,,,City 25/Hwy 31/Comb 27 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2017 Honda Civic LX Sedan,16773,"20,793",Sedan,,,City 31/Hwy 40/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Civic EX Sedan,16777,"34,862",Sedan,Crystal Black Pearl,,City 31/Hwy 41/Comb 35 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2019 Honda Accord 1.5T LX,20986,802,Sedan,Modern Steel Metallic,Gray,City 30/Hwy 38/Comb 33 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Accord EX Sedan,16890,"46,801",Sedan,Black,Black,City 27/Hwy 37/Comb 31 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Civic LX Sedan,16988,"39,730",Sedan,White Orchid Pearl,Black/Ivory,City 31/Hwy 41/Comb 35 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2012 Honda CR-V AWD EX-L,17100,"43,118",Sport Utility,White,Beige,City 22/Hwy 30/Comb 25 MPG,4-Cylinder,Gasoline,5-Speed Automatic,All wheel drive,Four Door
Used 2018 Honda HR-V AWD LX,19950,"22,779",Sport Utility,Gray,Other,City 28/Hwy 34/Comb 31 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,All wheel drive,Four Door
Used 2017 Honda Accord Sport Special Edition Sedan,17220,"65,474",Sedan,Maroon,Black,City 26/Hwy 34/Comb 29 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Civic EX-T Sedan,17443,"22,312",Sedan,Modern Steel Metallic,,35 MPG Combined,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2018 Honda Civic LX-P Coupe,17481,"15,376",Coupe,Gray,Gray,City 30/Hwy 39/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Two Door
Used 2017 Honda Civic EX-T Sedan,17490,"35,423",Sedan,White,Black,City 32/Hwy 42/Comb 36 MPG,4-Cylinder Turbo,Gasoline,6-Speed Manual,2 wheel drive - front,Four Door
Used 2017 Honda Accord Sport Sedan,17490,"57,742",Sedan,White,Black,City 26/Hwy 34/Comb 29 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Accord Sport Sedan,17500,"71,841",Sedan,Basque Red Pearl Ii,Black,City 26/Hwy 35/Comb 30 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2016 Honda CR-V FWD LX,17555,"26,788",Sport Utility,Modern Steel Metallic,Gray,City 25/Hwy 31/Comb 27 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2017 Honda Fit LX,16988,"9,085",Hatchback,Milano Red,Black,City 33/Hwy 40/Comb 36 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Accord EX-L V6 Coupe,17761,"34,714",Coupe,Red,No Color,City 26/Hwy 35/Comb 30 MPG,6-Cylinder,Gasoline,6-Speed Automatic,2 wheel drive - front,Two Door
Used 2016 Honda Civic EX-T Sedan,17773,"31,374",Sedan,Modern Steel Metallic,,35 MPG Combined,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2015 Honda Civic Si Coupe,17777,"47,187",Coupe,Taffeta White,Black/Red,City 22/Hwy 31/Comb 25 MPG,4-Cylinder,Gasoline,6-Speed Manual,2 wheel drive - front,Two Door
Used 2016 Honda CR-V FWD SE,17871,"34,653",Sport Utility,Alabaster Silver Metallic,,City 25/Hwy 31/Comb 27 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda CR-V FWD EX,17971,"35,953",Sport Utility,Crystal Black Pearl,,City 25/Hwy 31/Comb 27 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda CR-V FWD LX,17997,"29,879",Sport Utility,Modern Steel Metallic,Gray,City 25/Hwy 31/Comb 27 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2017 Honda Civic EX-T Sedan,18160,"20,655",Sedan,Gray,Black,City 32/Hwy 42/Comb 36 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda CR-V FWD EX,18321,"37,077",Sport Utility,,,City 25/Hwy 31/Comb 27 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2018 Honda Civic EX-T Coupe,18595,"24,745",Coupe,White,Gray,City 31/Hwy 40/Comb 35 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Two Door
Used 2017 Honda Accord Sport Sedan,18750,"44,012",Sedan,Red,Black,City 26/Hwy 34/Comb 29 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda CR-V FWD EX,18777,"38,284",Sport Utility,,,City 25/Hwy 31/Comb 27 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2019 Honda Civic LX Sedan,18955,"8,410",Sedan,Crystal Black Pearl,Black,City 30/Hwy 38/Comb 33 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2019 Honda Civic LX Sedan,18981,"5,191",Sedan,Silver,Black,City 30/Hwy 38/Comb 33 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2016 Honda Civic Touring Coupe,18995,"17,814",Coupe,Lunar Silver Metallic,Black/Gray,35 MPG Combined,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Two Door
Used 2018 Honda Civic EX Sedan,19000,"14,841",Sedan,Taffeta White,,City 31/Hwy 40/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2018 Honda Civic Touring Sedan,23000,"3,298",Sedan,Taffeta White,Black,City 32/Hwy 42/Comb 36 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2018 Honda Accord 1.5T LX,19200,"26,851",Sedan,White,Beige,City 30/Hwy 38/Comb 33 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2018 Honda Civic EX Sedan,19481,"15,121",Sedan,Black,Gray,City 31/Hwy 40/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2017 Honda Accord Sport Sedan,19500,"36,774",Sedan,Lunar Silver Metallic,Black,City 26/Hwy 34/Comb 29 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2015 Honda Odyssey EX-L,21381,"61,400",Van,White Diamond Pearl,Truffle,City 19/Hwy 28/Comb 22 MPG,6-Cylinder,Gasoline,6-Speed Automatic,2 wheel drive - front,Four Door
Certified 2016 Honda Civic Touring Coupe,19898,"19,245",Coupe,Rallye Red,Black/Ivory,35 MPG Combined,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Two Door
Certified 2019 Honda Civic LX Coupe,19955,"8,800",Coupe,Aegean Blue Metallic,Black,City 30/Hwy 38/Comb 33 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Two Door
Used 2015 Honda CR-V FWD EX-L,19976,"27,613",Sport Utility,Obsidian Blue Pearl,Gray,City 26/Hwy 33/Comb 28 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2019 Honda Civic Sport Hatchback,19981,"8,932",Hatchback,Black,Black,City 30/Hwy 36/Comb 32 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda CR-V AWD EX-L,20890,"38,713",Sport Utility,Maroon,Gray,City 25/Hwy 31/Comb 27 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,All wheel drive,Four Door
Used 2017 Honda Civic Touring Coupe,20991,"8,933",Coupe,Silver,,,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Two Door
Used 2016 Honda Accord EX-L V6 Sedan,21222,"10,302",Sedan,White,Tan,City 27/Hwy 37/Comb 31 MPG,6-Cylinder,Gasoline,6-Speed Automatic,2 wheel drive - front,Four Door
Certified 2018 Honda Odyssey EX-L,34988,"17,099",Van,White Diamond Pearl,Mocha,City 19/Hwy 28/Comb 22 MPG,6-Cylinder,Gasoline,9-Speed Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Accord Touring Sedan,21415,"41,842",Sedan,Modern Steel Metallic,Black,,6-Cylinder,Gasoline,6-Speed Automatic,2 wheel drive - front,Four Door
Used 2019 Honda HR-V FWD EX,21500,"4,868",Sport Utility,Silver,Gray,City 27/Hwy 31/Comb 29 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2018 Honda CR-V FWD LX,21592,"9,875",Sport Utility,Black,Black,City 25/Hwy 31/Comb 27 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2018 Honda Civic Si Sedan,21917,"27,225",Sedan,White,Black,City 28/Hwy 38/Comb 32 MPG,4-Cylinder Turbo,Gasoline,6-Speed Manual,2 wheel drive - front,Four Door
Used 2016 Honda Odyssey EX,21981,"29,618",Van,Gray,Gray,City 19/Hwy 28/Comb 22 MPG,6-Cylinder,Gasoline,6-Speed Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Accord Touring Sedan,21981,"27,631",Sedan,Gray,Gray,,6-Cylinder,Gasoline,6-Speed Automatic,2 wheel drive - front,Four Door
Used 2018 Honda Accord 1.5T EX-L,22430,"49,297",Sedan,White,Gray,City 30/Hwy 38/Comb 33 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2019 Honda Civic EX-L Sedan,22476,"7,946",Sedan,,,City 32/Hwy 42/Comb 36 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2019 Honda Civic EX Sedan,22555,"5,499",Sedan,Lava,Black,City 32/Hwy 42/Comb 36 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2015 Honda Accord Touring Sedan,22555,"25,070",Sedan,Modern Steel Metallic,Gray,,6-Cylinder,Gasoline,6-Speed Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Odyssey EX,22876,"15,384",Van,Red,Red,City 19/Hwy 28/Comb 22 MPG,6-Cylinder,Gasoline,6-Speed Automatic,2 wheel drive - front,Four Door
Used 2018 Honda Accord 1.5T EX,22971,"13,463",Sedan,Lunar Silver Metallic,,City 30/Hwy 38/Comb 33 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2018 Honda Accord 2.0T EX-L,22981,"34,649",Sedan,White,Black,City 30/Hwy 38/Comb 33 MPG,4-Cylinder Turbo,Gasoline,10-Speed Automatic,2 wheel drive - front,Four Door
Used 2019 Honda Civic Si Coupe,23400,"4,530",Coupe,White,Black,City 28/Hwy 38/Comb 32 MPG,4-Cylinder Turbo,Gasoline,6-Speed Manual,2 wheel drive - front,Two Door
Used 2018 Honda CR-V FWD EX,23430,"27,776",Sport Utility,White,Tan,City 27/Hwy 33/Comb 29 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2017 Honda Ridgeline AWD RTL-T,26000,"53,474",Truck,White,Black,City 18/Hwy 25/Comb 21 MPG,6-Cylinder,Gasoline,6-Speed Automatic,All wheel drive,Four Door
Used 2018 Honda Civic Touring Sedan,23480,"7,408",Sedan,White Orchid Pearl,Black,City 32/Hwy 42/Comb 36 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2017 Honda CR-V FWD EX,23996,"13,648",Sport Utility,Silver,Beige/Tan,City 27/Hwy 33/Comb 29 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2017 Honda CR-V FWD EX-L,24290,"34,825",Sport Utility,Black,Black,City 27/Hwy 33/Comb 29 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2017 Honda Civic EX Sedan,18150,"25,636",Sedan,White,Black,City 31/Hwy 40/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2018 Honda Accord 1.5T Sport,24550,"15,078",Sedan,Black,Black,City 29/Hwy 35/Comb 31 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2015 Honda Odyssey EX-L,24859,"30,238",Van,Gray,Gray,City 19/Hwy 28/Comb 22 MPG,6-Cylinder,Gasoline,6-Speed Automatic,2 wheel drive - front,Four Door
Used 2018 Honda Civic Sport Touring Hatchback,25000,"5,295",Hatchback,Lunar Silver Metallic,Black,City 31/Hwy 40/Comb 34 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2018 Honda Accord 1.5T EX,25950,"3,776",Sedan,Black,Other,City 30/Hwy 38/Comb 33 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2019 Honda CR-V AWD LX,25955,"4,560",Sport Utility,Obsidian Blue Pearl,Gray,City 25/Hwy 31/Comb 27 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,All wheel drive,Four Door
Used 2017 Honda Pilot FWD LX,25998,"29,864",Sport Utility,White,Black,City 18/Hwy 26/Comb 21 MPG,6-Cylinder,Gasoline,6-Speed Automatic,2 wheel drive - front,Four Door
Used 2017 Honda Pilot 4WD LX,25998,"24,093",Sport Utility,White,Gray,City 18/Hwy 26/Comb 21 MPG,6-Cylinder,Gasoline,6-Speed Automatic,All wheel drive,Four Door
Used 2017 Honda Accord Sport Sedan,17490,"57,742",Sedan,White,Black,City 26/Hwy 34/Comb 29 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2018 Honda Accord 1.5T EX-L,26495,"8,970",Sedan,Platinum White Pearl,Gray,City 30/Hwy 38/Comb 33 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2018 Honda Pilot FWD EX,29632,"3,815",Sport Utility,Blue,Gray,City 18/Hwy 26/Comb 21 MPG,6-Cylinder,Gasoline,6-Speed Automatic,2 wheel drive - front,Four Door
Certified 2019 Honda Passport FWD EX-L,30343,"2,522",Sport Utility,Blue,Gray,City 19/Hwy 24/Comb 21 MPG,6-Cylinder,Gasoline,9-Speed Automatic,2 wheel drive - front,Four Door
Used 2018 Honda CR-V AWD Touring,30990,"3,783",Sport Utility,Gunmetal Metallic,Gray,City 27/Hwy 33/Comb 29 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,All wheel drive,Four Door
